Date,ISOWeek,DOI,Version,Category,Title,Authors
2026-05-04,19,10.64898/2026.04.30.26352170,1,infectious diseases,An Ultrasensitive and Novel Gene Sensor to Monitor Gut Microbiome,"Rana, M.; Stewart, M.; Rodrigues, M.; Toprak, E.; Koh, A.; Argun, A. A."
2026-05-04,19,10.64898/2026.04.28.25331845,1,genetic and genomic medicine,"Low-Cost Precision Nutrition Recommendations, Generated by Metataxonomy-based Microbiome Tests, Improve Food Group Choices and Gut Health Indicators in a Population with Obesity Diagnosis in Colombia","Caro-Miranda, V.; Blel-Jubiz, S.; Adarve-Rengifo, I.; Londono-Osorio, S.; Arrieta-Echeverri, M. C.; Gomez-Mesa, L.; Serna-Tangariffe, J. D.; Munoz, A.; Zapata, C. A.; Sierra-Zapata, L."
2026-05-04,19,10.64898/2026.05.02.26352281,1,dentistry and oral medicine,"Traumatic Occlusion in Orthodontics: A Systematic Review and Meta-Analysis of Prevalence, Classification, Treatment Outcomes, and the Evidence-Practice Gap","Mahfouz, M.; Alzaben, E."
2026-05-06,19,10.1101/2025.03.19.25324246,2,genetic and genomic medicine,Genetic Determinants Of Major Depressive Disorder (MDD) Among Adult Persons Living With HIV In Uganda.,"Nsangi, O. T.; Galiwango, R.; Kinyanda, E.; Sajatovic, M.; Mark, K.; Martin, K.; Katabira, E.; Nabbumba, C.; Megan, S.; Seedat, S.; Fatumo, S.; Kalungi, A."
2026-05-06,19,10.64898/2026.05.04.26352413,1,infectious diseases,"The Birth of Influenza Immunity: High-Resolution Antibody Dynamics Driven by Maternal Antibody Waning, Vaccinations, and Infections during the first Two Years of Life","Lee, S. M.; Burrell, A. R.; Spranger, S.; Conrey, S. C.; White, B.; Morrow, A. L.; Payne, D. C.; Staat, M. A.; Einav, T."
2026-05-06,19,10.64898/2026.05.04.26352398,1,genetic and genomic medicine,Genetics of the Leading Causes of Death in Human Aging,"Martignoni, A.; Cai, W. C.; Calderon, V.; Aguinaldo, C. C.; Park, K.; Murakami, S."
2026-05-04,19,10.64898/2026.05.01.26352257,1,genetic and genomic medicine,"Systematic variant-to-gene mapping highlights TGFB2 and VEGFA as adipokine-coding genes with non-obese, insulin-resistance-like characteristics and distinct disease risks","Su, C.-Y.; Hasebe, M.; van der Graaf, A.; Yang, Y.; Tsao, H.; Smith, L.; Butler-Laporte, G.; Zhou, S.; Zhang, W.; Lu, T.; Yoshiji, S."
2026-05-04,19,10.64898/2026.04.24.26351405,1,genetic and genomic medicine,Ancestry-specific immune signatures in Parkinson's disease: a rare variant burden analysis in Montreal and Guadeloupe cohorts,"Andriamboavonjy, L.; Labrecque, M.; Al Idrissi, L. Y.; Tressieres, B.; Veilleux Carpentier, A.; Chaumont, J.; Chaumont, H.; Gaete, S.; Ravion, S.; Duquette, A.; Chouinard, S.; Panisset, M.; Lannuzel, A.; Tetreault, M."
2026-05-04,19,10.64898/2026.05.01.26352245,1,genetic and genomic medicine,Directional genetic relationships between obsessive-compulsive disorder and bipolar disorder and schizophrenia.,"Niarchou, M.; Natividad Avila, M.; Mahjani, B.; Buxbaum, J.; Mullins, N.; Grice, D."
2026-05-04,19,10.64898/2026.05.01.26352246,2,infectious diseases,Probiotics Reduce Group B Streptococcus (GBS) Colonization During Pregnancy: A Systematic Review and Meta-Analysis,"Broughton, A.; Rowland, K.; Raskin, D. M."
2026-05-04,19,10.64898/2026.04.24.26350928,1,infectious diseases,Clinical Features and Outcomes of Neuroleptospirosis in French Guiana: Insights from a Retrospective Study (2015-2021),"Delahaye, A.; Dequidt, T.; Quet, F.; Montagnac, C.; Blaise, T.; Kallel, H.; Djossou, F.; Nacher, M.; Shepers, K.; Coussement, J.; Le Turnier, P.; Epelboin, L."
2026-05-04,19,10.64898/2026.05.01.26352238,1,dentistry and oral medicine,Dental Distrust and Discrimination: A Nationally Representative Perspective on LGBTQ+ Adults Experiences with Oral Health Care,"Heaton, L. J.; Santoro, M.; Cheung, H. J.; Preston, R. A.; Tranby, E. P."
2026-05-05,19,10.64898/2026.05.04.26352357,1,infectious diseases,End-user preferences and trade-offs for tuberculosis infection testing in a discrete choice experiment: What do people want?,"Chan, A. H. Y.; Loveys, K.; Quaife, M.; Korobitsyn, A.; Ismail, N.; Hakiman, A. P. A.; Kilic, A.; Hamada, Y.; Rangaka, M. X."
2026-05-05,19,10.64898/2026.05.04.26352231,1,infectious diseases,Prevalence and Human Health Risks of Salmonella enterica in Baby Poultry Sold at Agricultural Supply Stores,"Larsen, K. M.; Blackwell, H. L.; Patch, C. A.; Herren, C. S.; Bears, J.; Armstrong, C. M.; Kanrar, S.; Harper, K.; Devlin, V.; Martin, L.; Noyes, O.; Michaelides, A. M.; Hood, K. A.; Lunna, A.; Penny, A.; Armstrong, S. C.; Etter, A. J."
2026-05-05,19,10.64898/2026.05.04.26352362,1,infectious diseases,Early transcriptional signature in chikungunya predicts chronic arthralgia and reveals deficient antiviral response,"Cerqueira-Silva, T.; de Moares, L.; Pereira, B. d. J.; Jessica J Silva, J. J.; Orge, C.; Akrami, K.; Souza, L.; Horta, L.; Rego, M.; Albuquerque, A.; da Silva, J. K.; Cassais, P.; Calvacante, L. P.; Cardoso, C. R.; Ramos, P. I. P.; Santos, L. A.; Barral-Netto, M.; Barral, A.; Khouri, R.; Boaventura, V. S."
2026-05-05,19,10.64898/2026.05.04.26352315,1,infectious diseases,Explaining variation in antibiotic prescribing for common infections: a three-way variance decomposition using UK primary care data,"Nguyen, V. N.; Robotham, J. V.; Walker, A. S.; Eyre, D. W.; Hope, R.; Butler, C. C.; Sharland, M.; Pouwels, K. B."
2026-05-06,19,10.64898/2026.04.30.26351947,1,genetic and genomic medicine,NeuroDev: etiology and experience of neurodevelopmental disorders in Kenya and South Africa,"Kipkemoi, P.; O Heir, E.; Amin, M.; Stenton, S. L.; Baddoo, W.; Brand, H.; Bruwer, Z.; Bryant, S.; Chepkemoi, E.; Christ, B.; Eastman, E.; Fourie, C.; Fu, J. M.; Galvin, A.; Hall, S.; Khan, F.; Kim, H. A.; Kipkoech, C.; Kombe, M.; Mapenzi, R.; Melly, B.; van der Merwe, C.; Mkubwa, B.; Murugasen, S.; Mwangasha, K.; Mwangi, P.; Mwasambu, S.; Ngombo, A.; Nyale, J.; VanNoy, G. E.; Osei-Owusu, I.; Ringshaw, J. E.; Russell, K. A.; Samocha, K. E.; Sanchis-Juan, A.; Singer-Berk, M.; Zieff, M.; Talkowski, M. E.; O Donnell-Luria, A.; Austin-Tse, C.; Newton, C.; Abubakar, A.; Donald, K. A.; Robinson, E. "
